"age","attitude","points","gender","deep","stra","surf"
53,37,25,"F",43,27,31
55,31,12,"M",35,22,38
49,25,24,"F",42,29,27
53,35,10,"M",42,25,27
49,37,22,"M",44,29,34
38,38,21,"F",57,29,29
50,35,21,"M",46,18,23
37,29,31,"F",39,32,34
37,38,24,"M",52,34,26
42,21,26,"F",48,28,36
37,39,31,"M",43,29,32
34,38,31,"F",46,38,29
34,24,23,"F",51,29,27
34,30,25,"F",40,28,33
35,26,21,"M",50,14,28
33,41,31,"F",44,31,28
32,26,20,"F",49,11,35
44,26,22,"F",42,26,30
29,17,9,"M",49,24,45
30,27,24,"F",48,30,33
27,39,28,"M",47,21,28
29,34,30,"M",48,19,29
31,27,24,"F",48,29,36
37,23,9,"F",44,22,29
26,37,26,"F",44,14,34
26,44,32,"F",53,26,38
30,41,32,"M",47,32,36
33,37,33,"F",45,29,24
33,25,29,"F",39,23,42
28,30,30,"M",43,24,45
26,34,19,"M",59,13,30
27,32,23,"F",43,26,25
25,20,19,"F",35,28,29
31,24,12,"F",44,24,31
20,42,10,"M",54,26,19
39,16,11,"F",49,15,34
38,31,20,"M",46,35,22
24,38,26,"M",39,29,29
26,38,31,"M",28,20,39
25,33,20,"M",40,10,41
30,17,23,"F",49,32,41
25,25,12,"F",35,24,38
30,32,24,"M",40,20,42
48,35,17,"F",46,39,32
24,32,29,"F",44,40,29
40,42,23,"F",56,35,43
25,31,28,"M",45,26,25
23,39,31,"F",41,32,45
25,19,23,"F",50,25,35
23,21,25,"F",35,20,35
27,25,18,"M",50,25,29
25,32,19,"M",43,26,36
23,32,22,"M",34,17,41
23,26,25,"F",48,22,35
23,23,21,"F",35,19,39
45,38,9,"F",36,25,39
22,28,28,"F",49,32,28
23,33,25,"F",35,32,39
21,48,29,"M",42,18,30
21,40,33,"M",52,26,21
21,40,33,"F",51,29,27
21,47,25,"F",41,29,25
26,23,18,"F",37,20,34
25,31,22,"F",55,15,34
26,27,17,"F",41,16,29
21,41,25,"M",41,15,27
23,34,28,"F",41,32,34
22,25,22,"F",43,23,27
22,21,26,"F",19,31,22
22,14,11,"F",40,20,35
23,19,29,"F",52,22,35
22,37,22,"M",53,36,25
23,32,21,"M",58,27,28
24,28,28,"M",37,21,29
22,41,33,"F",36,33,33
23,25,16,"F",49,21,39
22,28,31,"M",49,18,21
20,38,22,"M",45,22,31
22,31,31,"M",37,24,40
21,35,23,"M",57,13,34
22,36,26,"F",51,15,30
23,26,12,"F",50,27,29
21,44,26,"M",53,30,29
22,45,31,"M",46,17,31
29,32,19,"M",40,19,36
29,39,30,"F",38,22,24
21,25,12,"F",38,25,41
28,33,17,"M",46,28,34
21,33,18,"F",51,21,27
30,30,19,"F",46,27,33
21,29,21,"F",44,18,47
23,33,24,"M",46,24,28
21,33,28,"F",46,32,33
21,35,17,"F",46,28,33
20,36,18,"F",44,21,35
22,37,17,"M",52,20,25
21,42,23,"M",45,30,44
21,32,26,"M",50,29,34
20,50,28,"F",48,33,41
22,47,31,"M",48,35,19
20,36,27,"F",55,21,35
20,36,25,"F",44,32,36
24,29,23,"M",44,22,35
20,35,21,"F",46,22,32
19,40,27,"F",31,11,36
21,35,28,"F",42,18,33
21,32,23,"F",37,29,37
22,26,21,"F",51,30,30
25,20,25,"F",38,32,28
21,27,11,"F",37,25,36
22,32,19,"F",50,26,36
25,33,24,"F",27,17,48
20,39,28,"F",40,23,39
24,33,21,"M",37,12,42
20,30,24,"F",33,20,42
21,37,24,"M",39,26,46
20,25,20,"F",48,29,35
20,29,19,"F",43,31,26
31,39,30,"M",49,31,20
20,36,22,"F",51,19,25
22,29,16,"F",41,24,34
22,21,16,"F",37,27,41
21,31,19,"M",42,22,40
22,40,30,"M",44,36,31
21,31,23,"F",51,21,34
21,23,19,"F",51,22,40
21,28,18,"F",46,26,36
21,37,28,"F",53,33,31
20,26,21,"F",42,27,29
21,24,19,"F",43,22,43
25,30,27,"F",44,33,25
21,28,24,"M",25,26,52
24,29,21,"F",51,23,32
20,24,20,"F",43,23,36
21,31,28,"M",48,19,32
20,19,12,"F",40,31,26
20,20,21,"F",42,17,32
18,38,28,"F",38,32,27
21,34,31,"F",43,26,32
19,37,18,"F",41,21,40
21,29,25,"F",51,22,42
20,23,19,"F",39,32,33
21,41,21,"M",53,24,24
20,27,16,"F",39,27,34
21,35,7,"F",47,31,42
20,34,21,"F",43,26,30
18,32,17,"F",54,27,38
22,33,22,"M",43,33,37
22,33,18,"F",44,28,35
24,35,25,"M",31,16,38
19,32,24,"F",50,29,30
20,31,23,"F",39,27,46
20,28,23,"F",52,17,27
17,17,26,"F",47,37,41
19,19,12,"M",32,20,45
20,35,32,"F",37,23,36
20,24,22,"F",45,22,31
20,21,20,"F",50,32,40
20,29,21,"F",50,19,34
19,19,23,"F",39,31,36
19,20,20,"F",49,27,34
22,42,28,"F",35,14,38
35,41,31,"M",46,24,33
18,37,18,"F",38,21,41
19,36,30,"F",41,21,36
21,18,19,"M",49,27,32
